公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300140,启源装备,西安启源机电装备股份有限公司,"XI"" AN QIYUAN MECHANICAL AND ELECTRICAL EQUIPMENT CO.,LTD.",陕西省西安市经济技术开发区凤城十二路98号,300140,启源装备,2010-11-12,"244,000,000","241,965,160",,,,0,0,西北,陕西,西安市,C 制造业,www.sdricom.com
300141,和顺电气,苏州工业园区和顺电气股份有限公司,"Suzhou Industrial Park Heshun Electric Co.,Ltd.",江苏省苏州工业园区和顺路8号,300141,和顺电气,2010-11-12,"166,966,400","108,526,749",,,,0,0,华东,江苏,苏州市,C 制造业,www.cnheshun.com
300142,沃森生物,云南沃森生物技术股份有限公司,"Walvax Biotechnology Co.,Ltd.",云南省昆明市高新开发区北区云南大学科技园2期A3幢4楼,300142,沃森生物,2010-11-12,"1,404,000,000","1,066,760,995",,,,0,0,西南,云南,昆明市,C 制造业,www.walvax.com
300143,星河生物,广东星河生物科技股份有限公司,"Starway Bio-technology Co., Ltd",广东省东莞市塘厦镇蛟坪大道83号,300143,星河生物,2010-12-09,"233,938,544","106,030,479",,,,0,0,华南,广东,东莞市,A 农林牧渔,www.starway.com.cn
300144,宋城演艺,宋城演艺发展股份有限公司,SONGCHENG PERFORMANCE DEVELOPMENT CO .，LTD.,浙江省杭州市之江路148号,300144,宋城演艺,2010-12-09,"1,452,613,577","1,094,786,617",,,,0,0,华东,浙江,杭州市,R 文化传播,www.chinascgf.com
300145,中金环境,南方中金环境股份有限公司,"Nanfang Zhongjin Environment Co., Ltd.",浙江省杭州市余杭区仁和街道仁河大道46号,300145,中金环境,2010-12-09,"667,860,408","359,879,726",,,,0,0,华东,浙江,杭州市,C 制造业,www.nanfang-pump.com
300146,汤臣倍健,汤臣倍健股份有限公司,"BY-HEALTH CO.,LTD",广东省珠海市金湾区三灶科技工业园星汉路19号,300146,汤臣倍健,2010-12-15,"1,456,021,880","860,141,002",,,,0,0,华南,广东,珠海市,C 制造业,www.by-health.com.cn
300147,香雪制药,广州市香雪制药股份有限公司,"Xiangxue Pharmaceutical Co., Ltd.",广东省广州市萝岗区广州经济技术开发区科学城金峰园路2号,300147,香雪制药,2010-12-15,"661,476,335","659,909,555",,,,0,0,华南,广东,广州市,C 制造业,www.xphcn.com
300148,天舟文化,天舟文化股份有限公司,"TANGEL PUBLISHING CO.,LTD",湖南省长沙县星沙镇茶叶大市场办公楼502、602号,300148,天舟文化,2010-12-15,"506,821,810","435,846,949",,,,0,0,华中,湖南,长沙市,R 文化传播,www.t-angel.com
300149,量子高科,量子高科（中国）生物股份有限公司,"Quanturn Hi-Tech （China）Biological Co.,Ltd",广东省江门市高新区高新西路133号,300149,量子高科,2010-12-22,"422,100,000","405,145,879",,,,0,0,华南,广东,江门市,C 制造业,www.qht.cc
300150,世纪瑞尔,北京世纪瑞尔技术股份有限公司,"Beijing Century Real Technology Co.,Ltd.",北京市海淀区创业路8号3号楼6层3-9,300150,世纪瑞尔,2010-12-22,"540,000,000","327,061,117",,,,0,0,华北,北京,北京市,I 信息技术,www.c-real.com.cn
300151,昌红科技,深圳市昌红科技股份有限公司,"SHENZHEN CHANGHONG TECHNOLOGY Co.,Ltd.",广东省深圳市坪山新区坪山锦龙大道西侧,300151,昌红科技,2010-12-22,"502,500,000","284,412,805",,,,0,0,华南,广东,深圳市,C 制造业,www.sz-changhong.com
300152,科融环境,徐州科融环境资源股份有限公司,"Xuzhou Kerong Environmental Resources Co.,Ltd.",江苏省徐州市经济开发区杨山路12号,300152,科融环境,2010-12-29,"712,800,000","712,796,700",,,,0,0,华东,江苏,徐州市,C 制造业,www.kre.cn
